component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9933500289916992
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.5150938034057617
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9977626800537108
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9992201924324036
4	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.625942587852478
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8696490526199341
6	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.6025756597518921
7	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9234926104545592
8	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.7269316911697388
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.923294723033905
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.929850697517395
11	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6830837726593018
12	ica	Independent Component	bad	n/a	ICLabel	n/a	channel noise	0.6168690919876099
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9405059218406676
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7754682302474976
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9367664456367492
16	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6523535847663879
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6234004497528076
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8600690364837646
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4570655524730682
