component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9956696629524232
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9843934178352356
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.4526416361331939
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9978329539299012
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7557817697525024
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9985126256942748
6	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5643774271011353
7	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8671358823776245
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4721104502677917
9	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9300997853279114
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9933701753616332
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6815837025642395
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6865718960762024
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.398579329252243
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7121049165725708
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4425098299980163
16	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8098184466362
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7334617376327515
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6359602212905884
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9770321249961852
