component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9934515953063964
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9995689392089844
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.990273416042328
3	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4455327689647674
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5583510994911194
5	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9073495268821716
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7750429511070251
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9727001190185548
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9984523057937622
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.99372398853302
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9990373849868774
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9997270107269288
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5963965654373169
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7986624240875244
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.881463885307312
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9952802658081056
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4642832279205322
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6201395392417908
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5684024095535278
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4507949352264404
