component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9912430047988892
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9991679191589355
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9995197653770448
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999803900718689
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9400051832199096
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9992031455039978
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9979544281959534
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9883052110671996
8	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7353776097297668
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9576114416122437
10	ica	Independent Component	bad	n/a	ICLabel	n/a	heart beat	0.6549810171127319
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.715137779712677
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7547084093093872
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5662269592285156
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6561314463615417
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9702549576759338
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7956964373588562
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8364437222480774
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6777437925338745
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.729910671710968
