component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9953505396842957
1	ica	Independent Component	bad	n/a	ICLabel	n/a	channel noise	0.2828476428985595
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.4567254483699798
3	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9903792142868042
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9992539882659912
5	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9359119534492492
6	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6841492652893066
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9998981952667236
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9959641098976136
9	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4235695898532867
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7977896928787231
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8673416972160339
12	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9937334656715392
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5644546747207642
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6013526320457458
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8975075483322144
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7626262307167053
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.3673159480094909
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4479469060897827
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7254758477210999
