component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9878587126731871
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9993886351585388
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9707321524620056
3	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9761101007461548
4	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9977407455444336
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9517724514007568
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9468730092048644
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9996830224990844
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5846291184425354
9	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9279358386993408
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6437290906906128
11	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.936008870601654
12	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.507381021976471
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7826091051101685
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8159556984901428
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6339825391769409
16	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7517021894454956
17	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4464923143386841
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9352222681045532
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8904925584793091
