component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9880274534225464
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9995380640029908
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.968937873840332
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5761545300483704
4	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9371787309646606
5	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.8121176958084106
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999970018863678
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.978451132774353
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.553092360496521
9	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9588273763656616
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7002048492431641
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9954137802124025
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9998812675476074
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9652597308158876
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8963441848754883
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.960032880306244
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4176626801490783
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8074828386306763
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5557174682617188
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.3981477618217468
