component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9268906712532043
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.785550594329834
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9821656346321106
3	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9889684915542604
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.961637318134308
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8818683624267578
6	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7133045196533203
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.986387014389038
8	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8739762306213379
9	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7800707817077637
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.934322714805603
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.484923779964447
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8574634194374084
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6351608037948608
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8465826511383057
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4879324734210968
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9278290271759032
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5716152191162109
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.3876016438007355
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6411823034286499
