component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9871379137039183
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9991410970687866
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.998738408088684
3	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5283702611923218
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9915083646774292
5	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9296022653579712
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9996708035469056
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9899327158927916
8	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7071515321731567
9	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9063652753829956
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9647817611694336
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9992973208427428
12	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6325857639312744
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5153119564056396
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7193703651428223
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4281664788722992
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.884541392326355
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9992387890815736
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4645648896694183
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.963219940662384
