component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.994447946548462
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.973336696624756
2	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5529698133468628
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999626636505127
4	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8121089935302734
5	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.971202790737152
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9802704453468324
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.99197518825531
8	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.8355461359024048
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8738991618156433
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9772543907165528
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9978926181793212
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9591745138168336
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5848081111907959
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9532662034034728
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8511727452278137
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9097906351089478
17	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.7717278003692627
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5920867919921875
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6919680833816528
