component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.985053539276123
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9963855743408204
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9996986985206604
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9992815256118774
4	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.3807272017002105
5	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6039946675300598
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.998502254486084
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9984866976737976
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6061576008796692
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4502914845943451
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9261212348937988
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.674615204334259
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9537355899810792
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.873741626739502
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6987107396125793
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7012333869934082
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5025608539581299
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6991844177246094
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4223099946975708
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9344145059585572
