component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9861111044883728
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9997243285179138
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9915559887886048
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999780774116516
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9980258941650392
5	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9831351637840272
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5520524978637695
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9955417513847352
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6776997447013855
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9236334562301636
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8566354513168335
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9364345073699952
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9995800256729126
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7755209803581238
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.3936820030212402
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4850140213966369
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9437099695205688
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9678742289543152
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.977339208126068
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9143006801605223
