component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9567385911941528
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7843669056892395
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9994734525680542
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9990464448928832
4	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9908233880996704
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9991120100021362
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9995839595794678
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7340916991233826
8	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9820032119750975
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9997909665107728
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.89072585105896
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9985573291778564
12	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8788713812828064
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.902463972568512
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5752576589584351
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6392204761505127
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9959611892700196
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.985318660736084
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.350199282169342
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7880029678344727
