component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9679769277572632
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9953131079673768
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9997888803482056
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9075911641120912
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999804496765136
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999138116836548
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.63736492395401
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9978187084197998
8	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9347493648529052
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999593496322632
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9967076778411864
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.974735677242279
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9207301139831544
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8743936419487
14	ica	Independent Component	bad	n/a	ICLabel	n/a	heart beat	0.5839465856552124
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.66059410572052
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9090408086776732
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5505855083465576
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.3837450444698334
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.3783476948738098
