name	x	y	z
Fp1	-0.03090258833242555	0.114585178792428	0.02786657432908913
Fpz	-0.0013373295593324837	0.11910179592059784	0.032889903640768506
Fp2	0.028409495337624727	0.11534630990164213	0.027721257722525875
AF3	-0.035186007467538326	0.10912956509481905	0.05643921471178484
AF4	0.0342298581732583	0.10981127208682755	0.05711667432352483
F7	-0.07187662505917264	0.07310352742670875	0.025790455878913307
F5	-0.06605408347001591	0.08023977920903826	0.053771079274628375
F3	-0.05180903841183724	0.08668789888287941	0.07871409302883386
F1	-0.029043947159812532	0.0914484772511269	0.09661865029442043
Fz	-0.001229271161566281	0.09327445200029715	0.1026392934768164
F2	0.02796791320013783	0.09186996574934479	0.09577991837531276
F4	0.050274277731628736	0.08743838910239796	0.07727065434234194
F6	0.06633134168869542	0.0815289669916695	0.05311627938005649
F8	0.07143526925150917	0.07450512647808137	0.025101027393177114
FT7	-0.08248931089002047	0.04484873806704516	0.027680584654190814
FC5	-0.07890597635539306	0.05136738419239063	0.062962347939219
FC3	-0.06185233708120759	0.057133285360774055	0.09376582882952159
FC1	-0.03571586037883836	0.06171405984105545	0.11798301537735344
FCz	-0.0012714263028658717	0.0634597921290682	0.126571983842371
FC2	0.033130982370817734	0.06182848606183057	0.1167816981344542
FC4	0.06062548180278077	0.05770742045738667	0.09379461804488001
FC6	0.0778466192866476	0.052098811200362666	0.06286710628925257
FT8	0.08010432710058435	0.04555358224385677	0.027412390613797664
T7	-0.08598207795805729	0.014871638175652204	0.031173373739044698
C5	-0.08208529873125733	0.01929362757100219	0.06948966772818678
C3	-0.0671487229331174	0.023358230537446293	0.10451068106024831
C1	-0.03793782383476591	0.0263374518138683	0.1297706088883019
Cz	-0.0013741334028190722	0.027617093595102737	0.14019949417439556
C2	0.03589271692022557	0.026358138278001507	0.12841234097161083
C4	0.06532888071838541	0.0235731049615695	0.10369243420047652
C6	0.08165316938062157	0.01969565941729637	0.06948180710556634
T8	0.08326136985759491	0.015258189278681372	0.030972968524059938
M1	-0.08801181529688196	-0.01736642072714718	-0.025732015697953692
TP7	-0.086757277911408	-0.014950977153944691	0.03515865615909791
CP5	-0.08151351110863697	-0.013345693814222136	0.07313262712367305
CP3	-0.06547223352095873	-0.011896603418787375	0.10777792004226633
CP1	-0.03742512541749303	-0.0108242377168398	0.13344371157184132
CPz	-0.0015249049095034388	-0.010518376385192287	0.1415491439762969
CP2	0.036471959575241124	-0.010903791502932459	0.1328122726312171
CP4	0.06469625505180063	-0.011991175153616248	0.1077128709239866
CP6	0.08140110772413488	-0.013462042634867975	0.07336367003861291
TP8	0.08362232277947577	-0.01508566987716373	0.035057696834785955
M2	0.08385702010369446	-0.01799997664127678	-0.025775935836398256
P7	-0.07445796452347851	-0.042123164958505765	0.04127363138738122
P5	-0.06929984033251055	-0.04322697385521733	0.07225380245654418
P3	-0.0550382318026169	-0.04421030466234088	0.09990897692200874
P1	-0.03065361671214898	-0.0449273871112134	0.119472045379713
Pz	-0.001709445046746896	-0.045212993324122014	0.12667292418209622
P2	0.02988639367294514	-0.04503254211011842	0.12074781507025116
P4	0.05363601546337514	-0.04433452185507687	0.100516027732151
P6	0.06586061936218297	-0.043338515400606556	0.07194130862688103
P8	0.07103247088902218	-0.04225997601209522	0.0411988627819509
PO7	-0.05694862114459298	-0.06592324642051973	0.047907438021991204
PO5	-0.05053530095486871	-0.06669108891499634	0.06678691497493189
PO3	-0.03862460152585547	-0.0673615830694722	0.08241555265208235
POz	-0.00189982442989459	-0.06805409916590743	0.09590999936124336
PO4	0.034667793322282536	-0.06766213598039732	0.08164652939132529
PO6	0.04770773018030838	-0.06713848095436331	0.06692061390320389
PO8	0.053557322892856016	-0.06641693688532627	0.047850975850466874
O1	-0.03157355787465608	-0.08056835212663661	0.05478964562404762
Oz	-0.0020602461029908406	-0.0827829905012281	0.06073663060773575
O2	0.027683100559624117	-0.08048883980936473	0.0547340814777941
HEO	n/a	n/a	n/a
VEO	n/a	n/a	n/a
