component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9957751631736756
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9959028959274292
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9328550100326538
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.996070384979248
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9824614524841307
5	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9439724683761596
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9963169097900392
7	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9983037114143372
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9950345158576964
9	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9804347157478333
10	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5479878783226013
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.971994400024414
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8375703692436218
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7244021892547607
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7751189470291138
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.88358473777771
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7765613794326782
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8494553565979004
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.389383316040039
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.3953781723976135
