component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.993821620941162
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5166884660720825
2	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.827051043510437
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9992427229881288
4	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.988732933998108
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9951229095458984
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.994793176651001
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.691818356513977
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5042760968208313
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9867281913757324
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.555405855178833
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5569482445716858
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9995720386505128
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9227149486541748
14	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.4961019456386566
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9430567026138306
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.3944041430950165
17	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5458730459213257
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4375371932983398
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9490415453910828
