component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9973461031913756
1	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9996642470359802
2	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9670906066894532
3	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9986299276351928
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9995005130767822
5	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.989685356616974
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.997524917125702
7	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9770710468292236
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8424069881439209
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9989036321640016
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.999341368675232
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9515542984008788
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.680315375328064
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9972766041755676
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.993090033531189
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7202398777008057
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8496338129043579
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5632553100585938
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9955173134803772
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7871218323707581
