component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9858466982841492
1	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6192512512207031
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9962764978408812
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9944337606430054
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9953433275222778
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9973630905151368
6	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7023775577545166
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8368764519691467
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8924083709716797
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9931633472442628
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9736802577972412
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9878210425376892
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9908647537231444
13	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.4044148921966553
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9977951049804688
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9793890118598938
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6702659130096436
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6825287938117981
18	ica	Independent Component	bad	n/a	ICLabel	n/a	heart beat	0.7008170485496521
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8620456457138062
