component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6832128167152405
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.606489896774292
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9893677234649658
3	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4007862508296966
4	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5521004796028137
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5156500339508057
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9969965815544128
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9917821884155272
8	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6320445537567139
9	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.600367546081543
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9941185116767884
11	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.860665500164032
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9905710816383362
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.991631031036377
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9948928952217102
15	ica	Independent Component	bad	n/a	ICLabel	n/a	channel noise	0.8974497318267822
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8003305196762085
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4856410026550293
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4496748447418213
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.91852068901062
