component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.957916259765625
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9698253273963928
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9906572699546814
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9988656640052797
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9980251789093018
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9880213141441344
6	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7220633029937744
7	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.927553415298462
8	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.8229789733886719
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7667074203491211
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7511311769485474
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.99967360496521
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9455753564834596
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6237237453460693
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8072698712348938
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4400999546051025
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8430718183517456
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8882541060447693
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7821661233901978
19	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.5337175130844116
