component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9880576133728028
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9937520623207092
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9887096285820008
3	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.6895377039909363
4	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9312219619750975
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9709540605545044
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9947268962860109
7	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.3966768682003021
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9991329312324524
9	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9927486181259156
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9805291891098022
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9666000008583068
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8315403461456299
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.933333933353424
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7418731451034546
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8706870079040527
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7566503286361694
17	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.7992883920669556
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.993093490600586
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6938976049423218
