component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9881312251091005
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.996497631072998
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9976617097854614
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999113082885742
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5467751622200012
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9957437515258788
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9972723722457886
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999802708625792
8	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.4451530277729034
9	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7561852931976318
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8304752111434937
11	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6363495588302612
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.938319206237793
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.3491291105747223
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8351591229438782
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4215627610683441
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5097071528434753
17	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6812021732330322
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8049654364585876
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8454558849334717
