component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9959126114845276
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.968518853187561
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9980518817901612
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9993285536766052
4	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9087063670158386
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9393031001091005
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999207615852356
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8499680757522583
8	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.913875699043274
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6443378925323486
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9643605947494508
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9998700618743896
12	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9879459142684937
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9246015548706056
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9146763682365416
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9934258460998536
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4461984932422638
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4154123067855835
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8888000249862671
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4128063917160034
