component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9898704290390016
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999786615371704
2	ica	Independent Component	bad	n/a	ICLabel	n/a	heart beat	0.2742218673229217
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999040365219116
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9869588613510132
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9997652173042296
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9567407965660096
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9799546003341676
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8530137538909912
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6542677283287048
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9011812210083008
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.444753348827362
12	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6512766480445862
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.999762773513794
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7899259328842163
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5041706562042236
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6362175941467285
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7452280521392822
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7156464457511902
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7468751668930054
