component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9435922503471376
1	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6931365728378296
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.7957104444503784
3	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6771999597549438
4	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9334105849266052
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8475071787834167
6	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.5041942596435547
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9915883541107178
8	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5245116949081421
9	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5578466057777405
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6865779161453247
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.967265248298645
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9282416105270386
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9960058927536012
14	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.4186963438987732
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4500535726547241
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7146987318992615
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9109275341033936
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5210387706756592
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8578495383262634
