component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.988110363483429
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9979630708694458
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.998108446598053
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9994350671768188
4	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.503496527671814
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4513528347015381
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9871351718902588
7	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.8314492106437683
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5740697383880615
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5876377820968628
10	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.452378898859024
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.536557674407959
12	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.2756686210632324
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4959211647510528
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7319517135620117
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6715518236160278
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.574823260307312
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5097834467887878
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.692326545715332
19	ica	Independent Component	bad	n/a	ICLabel	n/a	channel noise	0.5603152513504028
