component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.969865620136261
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.990179181098938
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9453699588775636
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.99411940574646
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999562501907348
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9759454131126404
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9998469352722168
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9953119158744812
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9364584684371948
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.347198873758316
10	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.432342916727066
11	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9074357151985168
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.981590449810028
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8725998401641846
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7362056374549866
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6537858247756958
16	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8364015817642212
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9085248112678528
18	ica	Independent Component	bad	n/a	ICLabel	n/a	channel noise	0.5812453031539917
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4290792942047119
