component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.977302312850952
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9793951511383056
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9992663860321044
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999986171722412
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9443562030792236
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9803200364112854
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.99909245967865
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9997969269752502
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6509436964988708
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.996532142162323
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.599021852016449
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9771900177001952
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.972425937652588
13	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.7523007392883301
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8993389010429382
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6187251806259155
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9377403855323792
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6730734705924988
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9002358317375183
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4601395428180694
