component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9335688948631288
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.8323338031768799
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9987188577651978
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.992764949798584
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.996423602104187
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.971636950969696
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9991807341575624
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999094605445862
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9969967603683472
9	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.8762094974517822
10	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6072418689727783
11	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6540749669075012
12	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4928214251995086
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9277501702308656
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.3028203248977661
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9936319589614868
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6577631831169128
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.426588237285614
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4509027898311615
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7059468030929565
