component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9924493432044984
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9997411370277404
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.7288182377815247
3	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6838204860687256
4	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7766124606132507
5	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9928494691848756
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.99169659614563
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9879310131072998
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9414071440696716
9	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9541977643966676
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9385247826576232
11	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.670297384262085
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.994133234024048
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4983905553817749
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4745967984199524
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9379767179489136
16	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.3011111617088318
17	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5966657400131226
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7107066512107849
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9995094537734984
