component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9958248138427734
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9981454014778136
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9989025592803956
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9889121055603028
4	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9969348311424256
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9927582740783693
6	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7960355877876282
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9939342737197876
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9139281511306764
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999138116836548
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7287192344665527
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7019554972648621
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9515116214752196
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7286620140075684
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6276402473449707
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9807983040809632
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8372613787651062
17	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5193610787391663
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4920063614845276
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7236255407333374
