participant_id	age	sex	hand	weight	height
sub-01	21	M	R	n/a	n/a
sub-02	24	F	R	n/a	n/a
sub-03	21	M	R	n/a	n/a
sub-04	22	F	R	n/a	n/a
sub-05	21	M	R	n/a	n/a
sub-06	21	M	R	n/a	n/a
sub-07	21	M	R	n/a	n/a
sub-08	19	F	R	n/a	n/a
sub-09	18	M	R	n/a	n/a
sub-10	24	F	R	n/a	n/a
sub-11	24	F	R	n/a	n/a
sub-12	20	F	R	n/a	n/a
sub-13	22	M	R	n/a	n/a
sub-14	22	F	R	n/a	n/a
sub-15	25	M	R	n/a	n/a
sub-16	20	F	R	n/a	n/a
sub-17	24	F	R	n/a	n/a
sub-18	24	F	R	n/a	n/a
sub-19	22	F	R	n/a	n/a
sub-20	19	M	R	n/a	n/a
sub-21	23	F	R	n/a	n/a
sub-22	25	F	R	n/a	n/a
sub-23	21	F	R	n/a	n/a
sub-24	24	M	R	n/a	n/a
sub-25	20	F	R	n/a	n/a
sub-26	24	M	R	n/a	n/a
sub-27	29	M	R	n/a	n/a
sub-28	22	M	R	n/a	n/a
sub-29	23	F	R	n/a	n/a
sub-30	20	F	R	n/a	n/a
sub-31	31	M	R	n/a	n/a
sub-emptyroom	n/a	n/a	n/a	n/a	n/a
