component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8986960053443909
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9971757531166076
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9982868432998656
3	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9989132881164552
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9974762201309204
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9923956990242004
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9913196563720704
7	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8659922480583191
8	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7827669978141785
9	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8461776971817017
10	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4392226040363312
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5021517872810364
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5054458379745483
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8558948636054993
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6594456434249878
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8072071671485901
16	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9109686017036438
17	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9714030027389526
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.536818265914917
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.3262611627578735
