component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9978654980659484
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9997565746307372
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999509572982788
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999506652355194
4	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9699168801307678
5	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7611413598060608
6	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.759729266166687
7	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4017428457736969
8	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9896531701087952
9	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.839648962020874
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9878921508789062
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9908382296562196
12	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.2310530245304107
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9975426197052002
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.990685760974884
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5817411541938782
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9550118446350098
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7009568214416504
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7270569801330566
19	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.3666330575942993
