component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9930257201194764
1	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6071399450302124
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6580593585968018
3	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.999764919281006
4	ica	Independent Component	bad	n/a	ICLabel	n/a	heart beat	0.8015281558036804
5	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9004715085029602
6	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9830234050750732
7	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6450381278991699
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.978034496307373
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9906880855560304
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9280126094818116
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8578319549560547
12	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9320749640464784
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7065755724906921
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7882570028305054
15	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.6177534461021423
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5925437211990356
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4476481080055237
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4474848806858063
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8178061842918396
