component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9396334290504456
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9990659356117249
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999919533729552
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9997722506523132
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9981449246406556
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9986816048622132
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9798306822776794
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.978441834449768
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9994871020317078
9	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7047961354255676
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9741520285606384
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9931496381759644
12	ica	Independent Component	bad	n/a	ICLabel	n/a	heart beat	0.764460027217865
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7326152324676514
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5219238996505737
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5635988712310791
16	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9380303025245668
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9103782176971436
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7035732865333557
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.3854592442512512
