component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.939684271812439
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9997750520706176
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9595625400543212
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9997280836105348
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9974972009658812
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999443292617798
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999215602874756
7	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6017680168151855
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8501369953155518
9	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.6111774444580078
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9995826482772828
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8924111723899841
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6924424171447754
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7887090444564819
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9980770349502563
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9993422031402588
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9929196834564208
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9229781627655028
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6316190958023071
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6508404612541199
