component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8657834529876709
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9917491674423218
2	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9863330125808716
3	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9977064728736876
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.563946545124054
5	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5659714937210083
6	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8795974254608154
7	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9361895322799684
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9977013468742372
9	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.829890251159668
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.99323570728302
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9892351627349854
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9911874532699584
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6834529042243958
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9792323112487792
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.933224320411682
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9826303720474244
17	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.83193039894104
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6050765514373779
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8444599509239197
