component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9880979061126708
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9820706844329834
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9979722499847412
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9993690252304076
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9872068762779236
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9996355175971984
6	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8313602209091187
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9990193247795104
8	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9326964616775512
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9888336658477784
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7750250101089478
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9723936319351196
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9961914420127868
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9306077361106871
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4632463455200195
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7363088726997375
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6405559778213501
17	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8093860745429993
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4648273587226867
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9304693341255188
