component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9792182445526124
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9989444017410278
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9224306344985962
3	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9995983839035034
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9953464269638062
5	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9795657396316528
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9934405088424684
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9920554757118224
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9992820024490356
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9977402091026306
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9868881702423096
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9456859827041626
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8660266995429993
13	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9025487899780272
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6574509739875793
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8350613117218018
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8157758712768555
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7403597831726074
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9706968069076538
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.710460901260376
