component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9943351745605468
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9998153448104858
2	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9996352195739746
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9995792508125304
4	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7320320010185242
5	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9509176015853882
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9856849312782288
7	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9487712383270264
8	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9939576983451844
9	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7879666090011597
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9613368511199952
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7475056648254395
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9808824062347412
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.3972263038158417
14	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4236229360103607
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9840686917304992
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.3401055037975311
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9924907088279724
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5711275935173035
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9621144533157348
