component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9940319657325744
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999950110912323
2	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7721774578094482
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9999019503593444
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7736892700195312
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7706326246261597
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8845672607421875
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9700453281402588
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9984291195869446
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.986952006816864
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9891116619110109
11	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9214587211608888
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8100317716598511
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7116197943687439
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.3834408819675445
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4344381988048553
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.3263795375823974
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8920943140983582
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.988947868347168
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7137975096702576
