component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9803727865219116
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999913454055786
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.999365210533142
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8008138537406921
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9919438362121582
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9998571872711182
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9995411038398744
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9959953427314758
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.997840702533722
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.653592586517334
10	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.980519950389862
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9979742169380188
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8609152436256409
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9452476501464844
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8821433782577515
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.8560187220573425
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5633358955383301
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.6107101440429688
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9350926280021667
19	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9034469127655028
