component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.3292510211467743
1	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.3979140520095825
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4480059742927551
3	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.4893090724945068
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4491430222988128
5	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5366569757461548
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5555196404457092
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9723243713378906
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8886781930923462
9	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9816697239875792
10	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9089470505714417
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9990195035934448
12	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6706811189651489
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7522659301757812
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.3564061522483825
15	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.379746675491333
16	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7251088619232178
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7372137904167175
18	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.3986572623252868
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.461925745010376
