component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5378782749176025
1	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4154275357723236
2	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7673559188842773
3	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9325674176216124
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.478029727935791
5	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5278401374816895
6	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.3715829253196716
7	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9799487590789796
8	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5705960988998413
9	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5297684669494629
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.994590938091278
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9990472197532654
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.4225972294807434
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9041226506233216
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9687682390213012
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.3884212374687195
16	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.5965759754180908
17	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7794662117958069
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4141680598258972
19	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4641334116458893
