component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.913414716720581
1	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.479788601398468
2	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6523001194000244
3	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.7853037714958191
4	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.9082233905792236
5	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.8533250093460083
6	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5515420436859131
7	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.936692476272583
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9957111477851868
9	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.951856017112732
10	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9795713424682616
11	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6098140478134155
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.7375596761703491
13	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.4401864409446716
14	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9979739785194396
15	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.3889017403125763
16	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6891233921051025
17	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.453940600156784
18	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6307540535926819
19	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.6460965275764465
