name	type	status	status_description
Fp1	eeg	good	n/a
Fpz	eeg	good	n/a
Fp2	eeg	good	n/a
AF3	eeg	good	n/a
AF4	eeg	good	n/a
F7	eeg	good	n/a
F5	eeg	good	n/a
F3	eeg	good	n/a
F1	eeg	good	n/a
Fz	eeg	good	n/a
F2	eeg	good	n/a
F4	eeg	good	n/a
F6	eeg	good	n/a
F8	eeg	good	n/a
FT7	eeg	good	n/a
FC5	eeg	good	n/a
FC3	eeg	good	n/a
FC1	eeg	good	n/a
FCz	eeg	good	n/a
FC2	eeg	good	n/a
FC4	eeg	good	n/a
FC6	eeg	good	n/a
FT8	eeg	good	n/a
T7	eeg	good	n/a
C5	eeg	good	n/a
C3	eeg	good	n/a
C1	eeg	good	n/a
Cz	eeg	good	n/a
C2	eeg	good	n/a
C4	eeg	good	n/a
C6	eeg	good	n/a
T8	eeg	good	n/a
M1	eeg	good	n/a
TP7	eeg	good	n/a
CP5	eeg	good	n/a
CP3	eeg	good	n/a
CP1	eeg	good	n/a
CPz	eeg	good	n/a
CP2	eeg	good	n/a
CP4	eeg	good	n/a
CP6	eeg	good	n/a
TP8	eeg	good	n/a
M2	eeg	good	n/a
P7	eeg	good	n/a
P5	eeg	good	n/a
P3	eeg	good	n/a
P1	eeg	good	n/a
Pz	eeg	good	n/a
P2	eeg	good	n/a
P4	eeg	good	n/a
P6	eeg	good	n/a
P8	eeg	good	n/a
PO7	eeg	good	n/a
PO5	eeg	good	n/a
PO3	eeg	good	n/a
POz	eeg	good	n/a
PO4	eeg	good	n/a
PO6	eeg	good	n/a
PO8	eeg	good	n/a
O1	eeg	good	n/a
Oz	eeg	good	n/a
O2	eeg	good	n/a
