component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	ICLabel	n/a	eye blink	0.9583438038825988
1	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9998509287834167
2	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9953690767288208
3	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.8597895503044128
4	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5296027064323425
5	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9991251230239868
6	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.944148600101471
7	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.6245483160018921
8	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9992585778236388
9	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.7865952253341675
10	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.696260392665863
11	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9983737468719482
12	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.9877105951309204
13	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.900209367275238
14	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.4720391631126404
15	ica	Independent Component	bad	n/a	ICLabel	n/a	muscle artifact	0.9950479865074158
16	ica	Independent Component	good	n/a	ICLabel	n/a	other	0.5180015563964844
17	ica	Independent Component	bad	n/a	ICLabel	n/a	channel noise	0.877326488494873
18	ica	Independent Component	good	n/a	ICLabel	n/a	brain	0.5693551301956177
19	ica	Independent Component	bad	n/a	ICLabel	n/a	channel noise	0.3087634146213531
